,equipment_id,station_id,station_name,serial_number,start_time,end_time,part_family,part_id
6993,6,2,2,1723,2024-04-04 14:28:47.483,2024-04-04 14:29:24.630,1,a7790965-7bb7-4717-8bb9-6cbf3949b667
6994,3,0,0,1723,2024-04-04 14:30:32.784,2024-04-04 14:32:05.905,1,a4ac4720-bc38-4796-8651-fb56584ac7aa
6995,6,2,2,2541,2024-04-03 02:27:02.686,2024-04-03 02:27:02.707,6,1c9fbd0f-c174-4bed-b6e0-ccb2c1d62dc9
6996,6,2,2,1760,2024-04-04 15:36:28.168,2024-04-04 15:37:05.950,1,7393d3ab-05d6-4ee3-9fc3-1daa852b4d53
6997,6,2,2,1667,2024-04-04 15:59:18.539,2024-04-04 15:59:56.471,1,77325aac-d8ac-4283-85a9-67384f79e3a3
6998,6,2,2,1716,2024-04-04 16:05:21.530,2024-04-04 16:05:58.515,1,230cdfda-9056-4dcf-8eff-bb46f2faf597
6999,4,6,1,1724,2024-04-04 16:05:36.298,2024-04-04 16:05:58.841,1,b44af417-d879-49bb-86da-bc4858697413
7000,6,2,2,1750,2024-04-04 16:11:47.821,2024-04-04 16:12:25.234,1,fdde8451-01ad-4fd0-8ae1-f877cabfc334
7001,6,2,2,1721,2024-04-04 14:24:55.847,2024-04-04 14:25:31.708,1,45e431dd-8a2a-4e7c-a115-a05d773bda5e
7002,4,6,1,1723,2024-04-04 14:25:10.497,2024-04-04 14:25:33.110,1,a7790965-7bb7-4717-8bb9-6cbf3949b667
7003,2,3,0,1717,2024-04-04 14:24:05.530,2024-04-04 14:25:41.373,1,e55c2895-3ce6-4fe1-bd8e-e8eb618db7b4
7004,3,0,0,1718,2024-04-04 14:24:48.738,2024-04-04 14:26:21.081,1,b3729411-6f6f-430b-8b08-8218217c7415
7005,6,2,2,1696,2024-04-04 16:44:28.632,2024-04-04 16:45:05.295,1,b1d64e88-a584-41bb-82cb-cafe8859b87c
7006,6,2,2,1672,2024-04-04 16:50:29.527,2024-04-04 16:51:06.260,1,d5107d85-892b-4bf5-acae-76cd6d02a247
7007,1,1,0,1699,2024-04-04 16:50:22.096,2024-04-04 16:52:02.523,1,72e4db99-9d7a-4068-aecf-5c786df1f580
7008,6,2,2,1681,2024-04-04 16:58:48.322,2024-04-04 16:59:25.422,1,17306e02-1c75-4c25-a1f7-89295a029535
7009,2,3,0,1826,2024-04-04 18:10:45.835,2024-04-04 18:12:25.230,1,f2ec6665-4fad-43c5-8b33-08ffd4849510
7010,6,2,2,1830,2024-04-04 18:12:51.413,2024-04-04 18:13:27.791,1,5eefaa3b-6d68-4327-8bce-6b35effe7fb4
7011,4,6,1,1834,2024-04-04 18:17:42.617,2024-04-04 18:18:05.183,1,c90a7b40-30c1-4bbb-bd55-05457c055f7e
7012,6,2,2,1850,2024-04-04 18:21:28.250,2024-04-04 18:22:05.704,1,c231397a-3149-4538-8924-3cdf52b02815
7013,4,6,1,1847,2024-04-04 18:21:43.422,2024-04-04 18:22:06.015,1,61fb5164-ed74-48a5-8728-8872bb309ab0
7014,6,2,2,1722,2024-04-04 14:25:49.494,2024-04-04 14:26:26.367,1,463275b8-d139-482c-ab8d-bc5eca4122ad
7015,4,6,1,1740,2024-04-04 14:26:04.728,2024-04-04 14:26:28.032,1,f51df1a1-2a5f-4cf9-bd0c-78e411a96a82
7016,4,6,1,1747,2024-04-04 15:03:53.845,2024-04-04 15:04:16.542,1,c89c2c07-bfec-436a-be60-8340231858d6
7017,0,5,0,1751,2024-04-04 15:02:35.361,2024-04-04 15:04:50.556,1,6e225e6c-993c-440c-9d6d-9f3533e8f208
7018,1,1,0,1752,2024-04-04 15:02:57.387,2024-04-04 15:04:51.294,1,2eb127d3-005f-41c5-8bcf-ace2812d51ba
